ano,mes,ONI,data
2016,10,-0.74,2016-10-01
2016,11,-0.76,2016-11-01
2016,12,-0.5,2016-12-01
2017,1,-0.43,2017-01-01
2017,2,-0.08,2017-02-01
2017,3,0.03,2017-03-01
2017,4,0.22,2017-04-01
2017,5,0.37,2017-05-01
2017,6,0.34,2017-06-01
2017,7,0.25,2017-07-01
2017,8,-0.16,2017-08-01
2017,9,-0.43,2017-09-01
2017,10,-0.56,2017-10-01
2017,11,-0.97,2017-11-01
2017,12,-0.98,2017-12-01
2018,1,-0.98,2018-01-01
2018,2,-0.78,2018-02-01
2018,3,-0.8,2018-03-01
2018,4,-0.51,2018-04-01
2018,5,-0.2,2018-05-01
2018,6,0.04,2018-06-01
2018,7,0.12,2018-07-01
2018,8,0.09,2018-08-01
2018,9,0.47,2018-09-01
2018,10,0.9,2018-10-01
2018,11,0.9,2018-11-01
2018,12,0.89,2018-12-01
2019,1,0.65,2019-01-01
2019,2,0.71,2019-02-01
2019,3,0.81,2019-03-01
2019,4,0.62,2019-04-01
2019,5,0.55,2019-05-01
2019,6,0.45,2019-06-01
2019,7,0.35,2019-07-01
2019,8,0.04,2019-08-01
2019,9,0.03,2019-09-01
2019,10,0.48,2019-10-01
2019,11,0.52,2019-11-01
2019,12,0.52,2019-12-01
